Age,AgeBin,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,IncomeBin,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Cluster
32,Young Adult,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,Average,0,Yes,12,3,4,2,7,5,2,6,2,0,5,Early-career professional
22,Young Adult,No,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,Average,1,Yes,13,3,2,2,1,2,2,1,0,0,0,Early-career professional
53,Middle Age,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,15427,Medium,2,No,16,3,3,0,31,3,3,25,8,3,7,Veteran Professional
38,Young Adult,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,Average,5,Yes,11,3,3,0,6,3,3,3,2,1,2,Early-career professional
24,Young Adult,No,Non-Travel,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,Average,0,No,18,3,4,1,5,5,2,4,2,1,3,Early-career professional
36,Young Adult,Yes,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,Average,7,No,23,4,2,0,10,4,3,5,3,0,3,Early-career professional
34,Young Adult,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,Medium,0,No,11,3,3,0,13,4,3,12,6,2,11,Mid-career professional
21,Young Adult,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,Low,1,No,14,3,4,0,0,6,3,0,0,0,0,Early-career professional
34,Young Adult,Yes,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,2960,Average,2,No,11,3,3,0,8,2,3,4,2,1,3,Early-career professional
53,Middle Age,No,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,19094,High,4,No,11,3,4,1,26,3,2,14,13,4,8,Specialized professionals
32,Young Adult,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,Average,1,Yes,22,4,2,0,10,5,3,10,2,6,7,Mid-career professional
42,Middle Age,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,Average,0,No,11,3,4,1,10,2,3,9,7,4,2,Mid-career professional
44,Middle Age,No,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,Medium,3,No,14,3,4,1,24,4,3,22,6,5,17,Mid-to-senior professionals
46,Middle Age,No,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,5,Manager,1,Single,18947,High,3,No,12,3,4,0,22,2,2,2,2,2,1,Specialized professionals
33,Young Adult,No,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,Low,4,No,11,3,4,0,7,3,3,1,1,0,0,Early-career professional
44,Middle Age,No,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,Average,2,Yes,13,3,4,0,9,5,4,4,2,1,3,Mid-career professional
30,Young Adult,No,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,Low,1,No,13,3,1,0,10,5,3,10,0,1,8,Early-career professional
39,Young Adult,Yes,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,Low,3,No,14,3,3,1,19,6,4,1,0,0,0,Mid-career professional
24,Young Adult,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,Low,2,Yes,16,3,1,1,6,2,2,2,0,2,0,Early-career professional
43,Middle Age,No,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,Low,1,No,12,3,4,2,6,3,2,5,3,1,4,Early-career professional
50,Middle Age,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,Low,1,Yes,14,3,3,0,3,2,3,3,2,0,2,Early-career professional
35,Young Adult,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,Low,1,No,13,3,1,0,2,3,3,2,2,2,2,Early-career professional
36,Young Adult,No,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,Average,9,Yes,14,3,4,1,6,3,4,1,1,0,0,Early-career professional
33,Young Adult,No,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5376,Average,2,No,19,3,1,2,10,3,3,5,3,1,3,Mid-career professional
35,Young Adult,No,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,Low,1,No,12,3,3,1,1,3,3,1,0,0,0,Early-career professional
27,Young Adult,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,Low,1,No,13,3,4,1,1,6,3,1,0,0,0,Early-career professional
26,Young Adult,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,Low,1,No,12,3,3,0,1,2,2,1,0,0,1,Early-career professional
27,Young Adult,No,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,8726,Medium,1,No,15,3,4,0,9,0,3,9,8,1,7,Mid-career professional
30,Young Adult,No,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,Average,1,No,23,4,4,0,12,2,3,12,8,3,7,Mid-career professional
41,Middle Age,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,High,1,No,12,3,4,0,23,0,3,22,15,15,8,Experienced senior professional
34,Young Adult,No,Non-Travel,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,Single,4568,Average,0,No,20,4,3,0,10,2,3,9,5,8,7,Mid-career professional
37,Young Adult,No,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,Average,4,No,21,4,1,0,8,1,3,1,0,0,0,Early-career professional
46,Middle Age,No,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,Average,4,Yes,21,4,3,0,14,4,3,9,6,0,8,Mid-career professional
35,Young Adult,No,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,Low,1,No,19,3,4,0,1,2,3,1,0,0,1,Early-career professional
48,Middle Age,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,Average,9,Yes,13,3,4,0,23,2,3,1,0,0,0,Mid-career professional
28,Young Adult,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,Average,1,Yes,13,3,3,0,2,3,2,2,2,2,2,Early-career professional
44,Middle Age,No,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,Average,5,Yes,21,4,3,1,9,2,2,4,3,1,3,Mid-career professional
35,Young Adult,No,Non-Travel,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,Medium,2,Yes,13,3,3,1,10,3,3,4,0,2,3,Mid-career professional
26,Young Adult,No,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,Average,7,Yes,19,3,3,1,5,2,2,2,2,0,0,Early-career professional
33,Young Adult,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,Medium,1,Yes,12,3,3,0,15,1,3,15,14,8,12,Mid-career professional
35,Young Adult,No,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,Medium,1,No,22,4,4,1,9,3,2,9,8,1,8,Mid-career professional
35,Young Adult,No,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,Average,3,Yes,15,3,3,1,4,3,3,2,2,2,2,Early-career professional
31,Young Adult,No,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,Average,3,No,22,4,4,1,10,3,2,7,7,1,7,Mid-career professional
37,Young Adult,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,Average,1,No,18,3,3,1,7,2,4,7,5,0,7,Mid-career professional
32,Young Adult,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,Average,1,Yes,22,4,2,1,9,3,3,9,8,7,8,Mid-career professional
38,Young Adult,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,Low,1,No,11,3,4,0,10,2,3,10,3,9,9,Mid-career professional
50,Middle Age,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,High,5,Yes,12,3,4,1,29,2,2,27,3,13,8,Senior Executives
59,Middle Age,No,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,Average,7,No,11,3,4,0,28,3,2,21,16,7,9,Mid-to-senior professionals
36,Young Adult,No,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,Medium,1,No,13,3,2,3,17,2,3,17,14,12,8,Mid-career professional
55,Middle Age,No,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,14756,Medium,2,Yes,14,3,3,3,21,2,3,5,0,0,2,Mid-career professional
36,Young Adult,No,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,Average,1,No,13,3,3,0,6,3,3,6,5,0,3,Early-career professional
45,Middle Age,No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,Medium,2,No,17,3,3,1,25,2,3,1,0,0,0,Mid-career professional
35,Young Adult,No,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,Low,4,No,13,3,4,1,5,2,2,3,2,1,2,Early-career professional
36,Young Adult,Yes,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,3388,Average,0,Yes,17,3,1,1,2,0,2,1,0,0,0,Early-career professional
59,Middle Age,No,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,Average,7,No,11,3,4,0,20,2,2,4,3,1,3,Mid-career professional
29,Young Adult,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,Low,0,No,23,4,4,1,6,3,3,5,4,0,4,Early-career professional
31,Young Adult,No,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,2501,Low,1,No,17,3,2,0,1,4,3,1,1,1,0,Early-career professional
32,Young Adult,No,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,Average,1,No,17,3,2,2,10,3,3,10,4,0,9,Mid-career professional
36,Young Adult,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,Average,3,No,12,3,2,0,5,3,3,1,0,0,0,Early-career professional
31,Young Adult,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,Average,1,No,23,4,4,0,11,2,3,11,7,1,8,Mid-career professional
35,Young Adult,No,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,Single,4312,Average,0,No,14,3,2,0,16,2,3,15,13,2,8,Mid-career professional
45,Middle Age,No,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,13245,Medium,4,Yes,14,3,2,0,17,3,4,0,0,0,0,Mid-career professional
37,Young Adult,No,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,13664,Medium,4,No,13,3,1,0,16,3,4,5,2,0,2,Mid-career professional
46,Middle Age,No,Travel_Rarely,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,Average,8,Yes,22,4,4,1,16,2,3,4,2,0,2,Mid-career professional
30,Young Adult,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,Average,1,Yes,12,3,3,2,10,1,2,10,8,3,0,Mid-career professional
35,Young Adult,No,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,2859,Low,1,No,18,3,1,0,6,3,3,6,4,0,4,Early-career professional
55,Middle Age,No,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,10239,Medium,3,No,14,3,4,1,24,4,3,1,0,1,0,Mid-career professional
38,Young Adult,No,Non-Travel,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,Average,7,Yes,12,3,4,3,17,3,3,13,11,1,9,Mid-career professional
34,Young Adult,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,Average,1,No,15,3,3,0,5,2,3,5,2,1,3,Early-career professional
56,Middle Age,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,Average,4,No,11,3,1,0,37,3,2,6,4,0,2,Experienced Mid-Salary Professionals
23,Young Adult,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,Low,3,No,13,3,3,1,3,3,3,0,0,0,0,Early-career professional
51,Middle Age,No,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,Low,3,No,23,4,2,2,10,4,3,4,2,0,3,Mid-career professional
30,Young Adult,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,Average,1,No,19,3,1,3,11,3,3,11,10,10,8,Mid-career professional
46,Middle Age,Yes,Travel_Rarely,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,Single,9619,Medium,1,No,16,3,4,0,9,3,3,9,8,4,7,Mid-career professional
40,Middle Age,No,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,13503,Medium,1,No,22,4,4,1,22,3,2,22,3,11,11,Mid-to-senior professionals
51,Middle Age,No,Travel_Rarely,Sales,21,4,Marketing,3,Male,3,2,Sales Executive,4,Single,5441,Average,0,Yes,22,4,4,0,11,2,1,10,7,1,0,Mid-career professional
30,Young Adult,No,Travel_Rarely,Sales,4,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,Average,1,Yes,12,3,2,3,11,4,2,11,8,2,7,Mid-career professional
46,Middle Age,No,Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,10673,Medium,2,Yes,13,3,3,1,21,5,2,10,9,9,5,Mid-career professional
32,Young Adult,No,Travel_Rarely,Sales,6,4,Medical,2,Male,3,2,Sales Executive,3,Single,5010,Average,1,No,16,3,1,0,12,0,3,11,8,5,7,Mid-career professional
54,Middle Age,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,3,Research Director,3,Married,13549,Medium,9,No,12,3,1,1,16,5,1,4,3,0,3,Mid-career professional
24,Young Adult,No,Travel_Rarely,Sales,3,2,Other,1,Female,3,2,Sales Executive,3,Married,4999,Average,0,No,21,4,1,1,4,2,2,3,2,0,2,Early-career professional
28,Young Adult,No,Non-Travel,Sales,4,3,Medical,2,Male,3,2,Sales Executive,3,Married,4221,Average,1,No,15,3,2,0,5,3,4,5,4,0,4,Early-career professional
58,Middle Age,No,Travel_Rarely,Sales,10,4,Medical,4,Male,3,4,Sales Executive,3,Single,13872,Medium,0,No,13,3,3,0,38,1,2,37,10,1,8,Veteran Professional
44,Middle Age,No,Non-Travel,Research & Development,23,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,2042,Low,4,No,12,3,3,1,17,3,4,3,2,1,2,Mid-career professional
37,Young Adult,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,3,1,Human Resources,1,Divorced,2073,Low,4,Yes,22,4,4,0,7,3,3,3,2,0,2,Early-career professional
32,Young Adult,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,2956,Average,1,No,13,3,4,0,1,2,3,1,0,0,0,Early-career professional
20,Young Adult,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,Average,1,Yes,18,3,2,0,1,5,3,1,0,1,0,Early-career professional
34,Young Adult,No,Travel_Rarely,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,Single,4809,Average,1,No,14,3,3,0,16,3,3,16,13,2,10,Mid-career professional
37,Young Adult,No,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5163,Average,5,No,14,3,4,1,17,2,4,1,0,0,0,Mid-career professional
59,Middle Age,No,Non-Travel,Human Resources,2,4,Human Resources,3,Female,2,5,Manager,4,Married,18844,High,9,No,21,4,4,1,30,3,3,3,2,2,2,Highly experienced late-career professionals
50,Middle Age,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,3,5,Research Director,2,Married,18172,High,3,Yes,19,3,1,0,28,1,2,8,3,0,7,Specialized professionals
25,Young Adult,Yes,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,2,Sales Executive,3,Single,5744,Average,1,Yes,11,3,4,0,6,1,3,6,4,0,3,Early-career professional
25,Young Adult,No,Travel_Rarely,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,Married,2889,Low,1,No,11,3,3,2,2,2,3,2,2,2,1,Early-career professional
22,Young Adult,No,Travel_Rarely,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,2871,Low,1,No,15,3,3,0,1,5,3,0,0,0,0,Early-career professional
51,Middle Age,No,Travel_Frequently,Research & Development,1,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,7484,Average,3,No,20,4,3,0,23,1,2,13,12,12,8,Mid-career professional
34,Young Adult,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,6074,Average,1,Yes,24,4,4,0,9,3,3,9,7,0,6,Mid-career professional
54,Middle Age,No,Non-Travel,Human Resources,26,3,Human Resources,4,Female,4,4,Manager,4,Single,17328,High,2,Yes,12,3,3,0,23,3,3,5,3,4,4,Specialized professionals
24,Young Adult,No,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,2774,Low,0,No,12,3,3,1,6,2,3,5,3,1,2,Early-career professional
34,Young Adult,No,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,4505,Average,6,No,15,3,3,1,12,3,3,1,0,0,0,Early-career professional
37,Young Adult,No,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,3,3,Sales Executive,4,Single,7428,Average,2,No,12,3,1,0,12,3,3,5,3,1,3,Mid-career professional
34,Young Adult,No,Travel_Rarely,Research & Development,5,3,Medical,3,Female,2,3,Manager,1,Single,11631,Medium,2,No,12,3,4,0,14,6,3,11,10,5,8,Mid-career professional
36,Young Adult,No,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,3,3,Sales Executive,4,Married,9738,Medium,0,No,14,3,3,1,10,6,3,9,7,2,8,Mid-career professional
36,Young Adult,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,Divorced,2835,Low,5,No,22,4,1,1,7,2,3,1,0,0,0,Early-career professional
43,Middle Age,No,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,3,4,Manager,4,Married,16959,High,1,Yes,12,3,4,2,25,3,4,25,12,4,12,Experienced senior professional
30,Young Adult,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,2613,Low,1,No,25,4,3,3,10,2,2,10,7,0,9,Early-career professional
33,Young Adult,No,Non-Travel,Sales,22,2,Marketing,3,Male,3,2,Sales Executive,2,Married,6146,Average,0,No,13,3,1,1,8,2,4,7,7,0,7,Mid-career professional
56,Middle Age,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,3,1,Research Scientist,2,Married,4963,Average,9,Yes,18,3,1,3,7,2,3,5,4,4,3,Mid-career professional
51,Middle Age,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,3,5,Research Director,3,Single,19537,High,7,No,13,3,3,0,23,5,3,20,18,15,15,Experienced senior professional
31,Young Adult,Yes,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,1,2,Sales Executive,3,Married,6172,Average,4,Yes,18,3,2,0,12,3,2,7,7,7,7,Mid-career professional
26,Young Adult,No,Travel_Rarely,Research & Development,6,3,Other,3,Female,2,1,Research Scientist,2,Married,2368,Low,1,No,19,3,3,0,5,3,2,5,4,4,3,Early-career professional
58,Middle Age,Yes,Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,3,Healthcare Representative,4,Married,10312,Medium,1,No,12,3,4,1,40,3,2,40,10,15,6,Veteran Professional
19,Youth,Yes,Travel_Rarely,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,Single,1675,Low,1,Yes,19,3,4,0,0,2,2,0,0,0,0,Early-career professional
22,Young Adult,No,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,2523,Low,0,No,14,3,3,1,3,2,3,2,1,2,1,Early-career professional
49,Middle Age,No,Travel_Rarely,Research & Development,20,4,Medical,3,Female,3,2,Manufacturing Director,1,Married,6567,Average,1,No,14,3,3,0,16,2,2,15,11,5,11,Mid-career professional
43,Middle Age,No,Travel_Frequently,Research & Development,28,3,Medical,2,Female,4,1,Research Scientist,3,Single,4739,Average,4,No,12,3,4,0,18,2,3,3,2,1,2,Mid-career professional
50,Middle Age,No,Travel_Frequently,Sales,12,3,Marketing,3,Female,3,3,Sales Executive,4,Single,9208,Medium,4,No,11,3,4,0,16,3,3,2,2,2,1,Mid-career professional
31,Young Adult,Yes,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,1,2,Sales Executive,3,Married,4559,Average,3,Yes,11,3,3,1,4,2,3,2,2,2,2,Early-career professional
41,Middle Age,No,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,3,3,Sales Executive,3,Divorced,8189,Average,3,Yes,13,3,3,1,12,2,3,9,7,0,7,Mid-career professional
26,Young Adult,No,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,3,1,Human Resources,3,Married,2942,Average,1,No,23,4,4,1,8,3,3,8,7,5,7,Early-career professional
36,Young Adult,No,Travel_Rarely,Research & Development,6,2,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,4941,Average,6,No,20,4,4,2,7,0,3,3,2,0,1,Early-career professional
51,Middle Age,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,Single,10650,Medium,2,No,15,3,4,0,18,2,3,4,2,0,3,Mid-career professional
39,Young Adult,No,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,2,2,Sales Executive,3,Married,5902,Average,4,No,14,3,3,1,17,1,4,15,11,5,9,Mid-career professional
25,Young Adult,No,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,2,2,Sales Executive,3,Married,8639,Medium,2,No,18,3,4,0,6,3,3,2,2,2,2,Early-career professional
