,Age,AgeBin,BusinessTravel,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,IncomeBin,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Yes,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
10,35,1,1,16,3,1,4,1,2,2426,0,0,13,3,3,1,6,5,3,5,4,0,3,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
11,29,1,1,15,2,4,2,2,3,4193,1,0,12,3,4,0,10,3,3,9,5,0,8,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
12,31,1,1,26,1,1,3,1,3,2911,0,1,17,3,4,1,5,1,2,5,2,4,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
13,34,1,1,19,2,2,3,1,4,2661,0,0,11,3,3,1,3,2,3,2,2,1,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14,28,1,1,24,3,3,2,1,3,2028,0,5,14,3,2,0,6,4,3,4,2,0,3,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
15,29,1,1,21,4,2,4,3,1,9980,2,1,11,3,3,1,10,1,3,10,9,8,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,32,1,1,5,2,1,4,1,2,3298,1,0,12,3,4,2,7,5,2,6,2,0,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
17,22,1,0,16,2,4,4,1,4,2935,1,1,13,3,2,2,1,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
18,53,2,1,2,4,1,2,4,4,15427,2,2,16,3,3,0,31,3,3,25,8,3,7,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19,38,1,1,2,3,4,3,1,4,3944,1,5,11,3,3,0,6,3,3,3,2,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
20,24,1,0,11,2,1,4,2,3,4011,1,0,18,3,4,1,5,5,2,4,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
21,36,1,1,9,4,3,2,1,1,3407,1,7,23,4,2,0,10,4,3,5,3,0,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
22,34,1,1,7,4,1,3,3,2,11994,2,0,11,3,3,0,13,4,3,12,6,2,11,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
23,21,1,1,15,2,3,3,1,4,1232,0,1,14,3,4,0,0,6,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
24,34,1,1,6,1,2,3,1,1,2960,1,2,11,3,3,0,8,2,3,4,2,1,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
25,53,2,1,5,3,3,3,5,3,19094,3,4,11,3,4,1,26,3,2,14,13,4,8,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
26,32,1,2,16,1,2,1,1,1,3919,1,1,22,4,2,0,10,5,3,10,2,6,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
27,42,2,1,8,4,3,3,2,2,6825,1,0,11,3,4,1,10,2,3,9,7,4,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
28,44,2,1,7,4,1,2,3,4,10248,2,3,14,3,4,1,24,4,3,22,6,5,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,46,2,1,2,4,2,3,5,1,18947,3,3,12,3,4,0,22,2,2,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30,33,1,1,2,3,3,3,1,4,2496,0,4,11,3,4,0,7,3,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
31,44,2,1,10,4,4,3,2,4,6465,1,2,13,3,4,0,9,5,4,4,2,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
32,30,1,1,9,2,4,2,1,3,2206,0,1,13,3,1,0,10,5,3,10,0,1,8,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
33,39,1,1,5,3,4,3,2,4,2086,0,3,14,3,3,1,19,6,4,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
34,24,1,1,1,3,2,3,1,4,2293,0,2,16,3,1,1,6,2,2,2,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
35,43,2,1,2,2,4,4,1,3,2645,0,1,12,3,4,2,6,3,2,5,3,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,50,2,1,3,2,1,2,1,3,2683,0,1,14,3,3,0,3,2,3,3,2,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
37,35,1,1,2,3,4,3,1,4,2014,0,1,13,3,1,0,2,3,3,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
38,36,1,1,5,4,2,2,1,1,3419,1,9,14,3,4,1,6,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
39,33,1,2,1,3,3,4,2,1,5376,1,2,19,3,1,2,10,3,3,5,3,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
40,35,1,1,4,2,3,3,1,4,1951,0,1,12,3,3,1,1,3,3,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
41,27,1,1,2,4,4,3,1,1,2341,0,1,13,3,4,1,1,6,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,26,1,1,25,3,1,1,1,3,2293,0,1,12,3,3,0,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
43,27,1,2,8,3,4,3,3,3,8726,2,1,15,3,4,0,9,0,3,9,8,1,7,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
44,30,1,2,1,2,3,3,2,4,4011,1,1,23,4,4,0,12,2,3,12,8,3,7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
45,41,2,1,12,3,2,3,5,3,19545,3,1,12,3,4,0,23,0,3,22,15,15,8,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
46,34,1,0,23,4,2,3,2,3,4568,1,0,20,4,3,0,10,2,3,9,5,8,7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
47,37,1,1,19,2,2,3,1,2,3022,1,4,21,4,1,0,8,1,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
48,46,2,2,5,4,1,3,2,4,5772,1,4,21,4,3,0,14,4,3,9,6,0,8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
49,35,1,1,8,1,4,4,1,4,2269,0,1,19,3,4,0,1,2,3,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
50,48,2,1,1,2,1,2,3,3,5381,1,9,13,3,4,0,23,2,3,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
51,28,1,1,5,4,3,3,1,3,3441,1,1,13,3,3,0,2,3,2,2,2,2,2,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
52,44,2,1,1,5,2,3,2,1,5454,1,5,21,4,3,1,9,2,2,4,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
53,35,1,0,11,2,3,2,3,1,9884,2,2,13,3,3,1,10,3,3,4,0,2,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
54,26,1,1,23,3,3,2,2,4,4157,1,7,19,3,3,1,5,2,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
55,33,1,2,1,2,1,3,3,4,13458,2,1,12,3,3,0,15,1,3,15,14,8,12,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
56,35,1,2,18,5,2,3,3,1,9069,2,1,22,4,4,1,9,3,2,9,8,1,8,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
57,35,1,1,23,4,3,3,1,1,4014,1,3,15,3,3,1,4,3,3,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
58,31,1,1,7,4,4,3,2,4,5915,1,3,22,4,4,1,10,3,2,7,7,1,7,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
59,37,1,1,1,4,1,2,2,3,5993,1,1,18,3,3,1,7,2,4,7,5,0,7,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
60,32,1,1,1,3,1,3,2,4,6162,1,1,22,4,2,1,9,3,3,9,8,7,8,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
61,38,1,2,29,5,4,3,2,4,2406,0,1,11,3,4,0,10,2,3,10,3,9,9,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
62,50,2,1,7,2,2,2,5,3,18740,3,5,12,3,4,1,29,2,2,27,3,13,8,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
63,59,2,1,25,3,1,3,3,1,7637,1,7,11,3,4,0,28,3,2,21,16,7,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
64,36,1,1,8,3,3,3,3,3,10096,2,1,13,3,2,3,17,2,3,17,14,12,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,55,2,1,8,3,4,3,4,3,14756,2,2,14,3,3,3,21,2,3,5,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
66,36,1,2,11,3,2,2,2,2,6499,1,1,13,3,3,0,6,3,3,6,5,0,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
67,45,2,1,7,3,2,3,3,1,9724,2,2,17,3,3,1,25,2,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
68,35,1,2,1,3,2,3,1,1,2194,0,4,13,3,4,1,5,2,2,3,2,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
69,36,1,1,9,3,4,2,1,3,3388,1,0,17,3,1,1,2,0,2,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
70,59,2,2,1,1,1,2,2,3,5473,1,7,11,3,4,0,20,2,2,4,3,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
71,29,1,1,2,3,3,3,1,2,2703,0,0,23,4,4,1,6,3,3,5,4,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
72,31,1,1,1,4,3,3,1,2,2501,0,1,17,3,2,0,1,4,3,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
73,32,1,1,1,3,2,3,2,2,6220,1,1,17,3,2,2,10,3,3,10,4,0,9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
74,36,1,1,6,3,2,4,1,4,3038,1,3,12,3,2,0,5,3,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
75,31,1,1,8,4,3,3,2,4,4424,1,1,23,4,4,0,11,2,3,11,7,1,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
76,35,1,1,1,4,3,2,2,1,4312,1,0,14,3,2,0,16,2,3,15,13,2,8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
77,45,2,1,6,4,4,3,3,1,13245,2,4,14,3,2,0,17,3,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
78,37,1,1,7,4,1,3,3,3,13664,2,4,13,3,1,0,16,3,4,5,2,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
79,46,2,1,5,2,2,3,2,2,5021,1,8,22,4,4,1,16,2,3,4,2,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
80,30,1,1,1,1,4,2,2,4,5126,1,1,12,3,3,2,10,1,2,10,8,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
81,35,1,1,1,3,2,2,1,3,2859,0,1,18,3,1,0,6,3,3,6,4,0,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
82,55,2,1,1,2,1,3,3,4,10239,2,3,14,3,4,1,24,4,3,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
83,38,1,0,6,3,2,1,2,4,5329,1,7,12,3,4,3,17,3,3,13,11,1,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
84,34,1,1,1,2,1,3,2,2,4325,1,1,15,3,3,0,5,2,3,5,2,1,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
85,56,2,1,7,3,4,1,3,4,7260,1,4,11,3,1,0,37,3,2,6,4,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
86,23,1,1,2,1,3,3,1,1,2322,0,3,13,3,3,1,3,3,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
87,51,2,1,9,4,4,3,1,4,2075,0,3,23,4,2,2,10,4,3,4,2,0,3,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
88,30,1,1,2,3,3,2,2,4,4152,1,1,19,3,1,3,11,3,3,11,10,10,8,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
89,46,2,1,9,2,3,2,3,4,9619,2,1,16,3,4,0,9,3,3,9,8,4,7,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
90,40,2,2,1,4,3,2,4,2,13503,2,1,22,4,4,1,22,3,2,22,3,11,11,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
91,51,2,1,21,4,3,3,2,4,5441,1,0,22,4,4,0,11,2,1,10,7,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
92,30,1,1,4,2,3,2,2,2,5209,1,1,12,3,2,3,11,4,2,11,8,2,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
93,46,2,2,1,3,3,2,3,1,10673,2,2,13,3,3,1,21,5,2,10,9,9,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
94,32,1,1,6,4,2,3,2,3,5010,1,1,16,3,1,0,12,0,3,11,8,5,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
95,54,2,1,2,4,1,3,3,3,13549,2,9,12,3,1,1,16,5,1,4,3,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
96,24,1,1,3,2,1,3,2,3,4999,1,0,21,4,1,1,4,2,2,3,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
97,28,1,0,4,3,2,3,2,3,4221,1,1,15,3,2,0,5,3,4,5,4,0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
98,58,2,1,10,4,4,3,4,3,13872,2,0,13,3,3,0,38,1,2,37,10,1,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
99,44,2,0,23,3,2,3,2,2,2042,0,4,12,3,3,1,17,3,4,3,2,1,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
100,37,1,1,6,4,3,3,1,1,2073,0,4,22,4,4,0,7,3,3,3,2,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
101,32,1,1,1,1,4,3,1,1,2956,1,1,13,3,4,0,1,2,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
102,20,1,2,6,3,4,2,1,4,2926,1,1,18,3,2,0,1,5,3,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
103,34,1,1,6,4,1,3,2,3,4809,1,1,14,3,3,0,16,3,3,16,13,2,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
104,37,1,0,2,2,3,2,2,4,5163,1,5,14,3,4,1,17,2,4,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,59,2,0,2,4,3,2,5,4,18844,3,9,21,4,4,1,30,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
106,50,2,2,1,3,1,3,5,2,18172,3,3,19,3,1,0,28,1,2,8,3,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
107,25,1,1,5,3,3,2,2,3,5744,1,1,11,3,4,0,6,1,3,6,4,0,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
108,25,1,1,7,1,4,2,1,4,2889,0,1,11,3,3,2,2,2,3,2,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
109,22,1,1,15,3,2,3,1,4,2871,0,1,15,3,3,0,1,5,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
110,51,2,2,1,4,1,2,3,1,7484,1,3,20,4,3,0,23,1,2,13,12,12,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,34,1,2,7,3,1,1,2,3,6074,1,1,24,4,4,0,9,3,3,9,7,0,6,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
112,54,2,0,26,3,4,4,4,4,17328,3,2,12,3,3,0,23,3,3,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
113,24,1,1,18,1,2,3,1,3,2774,0,0,12,3,3,1,6,2,3,5,3,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
114,34,1,1,6,4,3,2,2,2,4505,1,6,15,3,3,1,12,3,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,37,1,1,3,3,3,3,3,4,7428,1,2,12,3,1,0,12,3,3,5,3,1,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
116,34,1,1,5,3,3,2,3,1,11631,2,2,12,3,4,0,14,6,3,11,10,5,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
117,36,1,2,11,2,2,3,3,4,9738,2,0,14,3,3,1,10,6,3,9,7,2,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
118,36,1,1,3,2,1,3,1,4,2835,0,5,22,4,1,1,7,2,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119,43,2,2,26,2,3,3,4,4,16959,3,1,12,3,4,2,25,3,4,25,12,4,12,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
120,30,1,2,23,3,1,1,1,3,2613,0,1,25,4,3,3,10,2,2,10,7,0,9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
121,33,1,0,22,2,3,3,2,2,6146,1,0,13,3,1,1,8,2,4,7,7,0,7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
122,56,2,1,14,4,2,3,1,2,4963,1,9,18,3,1,3,7,2,3,5,4,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
123,51,2,1,6,3,1,3,5,3,19537,3,7,13,3,3,0,23,5,3,20,18,15,15,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
124,31,1,1,6,4,2,1,2,3,6172,1,4,18,3,2,0,12,3,2,7,7,7,7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
125,26,1,1,6,3,3,2,1,2,2368,0,1,19,3,3,0,5,3,2,5,4,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
126,58,2,1,23,4,4,3,3,4,10312,2,1,12,3,4,1,40,3,2,40,10,15,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127,19,0,1,22,1,4,3,1,3,1675,0,1,19,3,4,0,0,2,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
128,22,1,1,2,1,3,3,1,4,2523,0,0,14,3,3,1,3,2,3,2,1,2,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
129,49,2,1,20,4,3,3,2,1,6567,1,1,14,3,3,0,16,2,2,15,11,5,11,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
130,43,2,2,28,3,2,4,1,3,4739,1,4,12,3,4,0,18,2,3,3,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
131,50,2,2,12,3,3,3,3,4,9208,2,4,11,3,4,0,16,3,3,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
132,31,1,1,20,3,2,1,2,3,4559,1,3,11,3,3,1,4,2,3,2,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
133,41,2,1,9,1,3,3,3,3,8189,1,3,13,3,3,1,12,2,3,9,7,0,7,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
134,26,1,1,25,1,3,3,1,3,2942,1,1,23,4,4,1,8,3,3,8,7,5,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
135,36,1,1,6,2,2,3,2,2,4941,1,6,20,4,4,2,7,0,3,3,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
136,51,2,2,8,4,1,1,3,4,10650,2,2,15,3,4,0,18,2,3,4,2,0,3,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
137,39,1,1,4,4,4,2,2,3,5902,1,4,14,3,3,1,17,1,4,15,11,5,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
138,25,1,1,28,3,1,2,2,3,8639,2,2,18,3,4,0,6,3,3,2,2,2,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
139,30,1,1,9,3,3,3,2,4,6347,1,0,19,3,4,0,12,2,1,11,9,4,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
140,32,1,1,9,3,1,3,1,1,4200,1,7,22,4,1,0,10,2,4,5,4,0,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
141,45,2,1,29,3,3,3,1,4,3452,1,5,13,3,2,0,9,2,2,6,5,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
142,38,1,1,3,5,4,3,2,3,4317,1,3,20,4,2,0,19,2,3,3,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
143,30,1,1,18,3,1,3,1,3,2632,0,1,14,3,3,0,5,4,2,5,4,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
144,32,1,2,9,2,4,1,2,4,4668,1,0,17,3,4,3,9,2,4,8,7,0,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
145,30,1,1,5,3,4,3,1,1,3204,1,5,14,3,4,1,8,3,3,3,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
146,30,1,1,2,1,2,2,1,4,2720,0,0,13,3,4,0,6,3,3,5,3,1,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
